,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
1,1,3,4.0,964981247
2,1,6,4.0,964982224
3,1,47,5.0,964983815
4,1,50,5.0,964982931
5,1,70,3.0,964982400
7,1,110,4.0,964982176
10,1,163,5.0,964983650
12,1,223,3.0,964980985
13,1,231,5.0,964981179
14,1,235,4.0,964980908
15,1,260,5.0,964981680
16,1,296,3.0,964982967
17,1,316,3.0,964982310
18,1,333,5.0,964981179
19,1,349,4.0,964982563
20,1,356,4.0,964980962
22,1,367,4.0,964981710
25,1,457,5.0,964981909
26,1,480,4.0,964982346
27,1,500,3.0,964981208
28,1,527,5.0,964984002
30,1,552,4.0,964982653
31,1,553,5.0,964984153
32,1,590,4.0,964982546
33,1,592,4.0,964982271
34,1,593,4.0,964983793
35,1,596,5.0,964982838
36,1,608,5.0,964982931
37,1,648,3.0,964982563
39,1,673,3.0,964981775
40,1,733,4.0,964982400
41,1,736,3.0,964982653
42,1,780,3.0,964984086
44,1,919,5.0,964982475
45,1,923,5.0,964981529
60,1,1073,5.0,964981680
61,1,1080,5.0,964981327
62,1,1089,5.0,964982951
63,1,1090,4.0,964984018
65,1,1097,5.0,964981680
66,1,1127,4.0,964982513
67,1,1136,5.0,964981327
68,1,1196,5.0,964981827
69,1,1197,5.0,964981872
70,1,1198,5.0,964981827
71,1,1206,5.0,964983737
72,1,1208,4.0,964983250
73,1,1210,5.0,964980499
74,1,1213,5.0,964982951
75,1,1214,4.0,964981855
76,1,1219,2.0,964983393
77,1,1220,5.0,964981909
78,1,1222,5.0,964981909
81,1,1240,5.0,964983723
83,1,1258,3.0,964983414
84,1,1265,4.0,964983599
85,1,1270,5.0,964983705
87,1,1278,5.0,964983414
88,1,1282,5.0,964982703
89,1,1291,5.0,964981909
92,1,1377,3.0,964982653
97,1,1500,4.0,964980985
98,1,1517,5.0,964981107
99,1,1552,4.0,964982620
100,1,1573,5.0,964982290
101,1,1580,3.0,964981125
103,1,1617,5.0,964982951
105,1,1625,5.0,964983504
107,1,1676,3.0,964982620
108,1,1732,5.0,964981125
109,1,1777,4.0,964981230
115,1,1954,5.0,964982176
117,1,2000,4.0,964982211
118,1,2005,5.0,964981710
119,1,2012,4.0,964984176
121,1,2028,4.0,964981888
125,1,2054,4.0,964981747
127,1,2078,5.0,964982838
133,1,2105,4.0,964981725
134,1,2115,5.0,964982529
141,1,2174,4.0,964981680
144,1,2268,4.0,964982989
146,1,2291,5.0,964983664
147,1,2329,5.0,964983263
149,1,2353,5.0,964983861
153,1,2395,5.0,964981093
154,1,2406,4.0,964982310
159,1,2470,5.0,964982588
162,1,2502,5.0,964981278
164,1,2529,5.0,964982242
165,1,2542,5.0,964981265
166,1,2571,5.0,964981888
170,1,2617,2.0,964982588
171,1,2628,4.0,964980523
172,1,2640,4.0,964982377
177,1,2657,3.0,964983426
178,1,2692,5.0,964981855
179,1,2700,5.0,964980985
180,1,2716,5.0,964983414
182,1,2797,4.0,964981710
184,1,2858,5.0,964980868
187,1,2916,4.0,964982290
189,1,2947,5.0,964982176
192,1,2959,5.0,964983282
193,1,2985,4.0,964983034
194,1,2987,5.0,964982495
197,1,2997,4.0,964980896
198,1,3033,5.0,964983762
200,1,3052,5.0,964981208
203,1,3147,5.0,964983873
208,1,3253,5.0,964981107
217,1,3489,4.0,964981775
218,1,3527,4.0,964982271
219,1,3578,5.0,964980668
222,1,3671,5.0,964981589
228,1,3793,5.0,964981855
232,2,318,3.0,1445714835
233,2,333,4.0,1445715029
234,2,1704,4.5,1445715228
235,2,3578,4.0,1445714885
236,2,6874,4.0,1445714952
239,2,48516,4.0,1445715064
240,2,58559,4.5,1445715141
242,2,68157,4.5,1445715154
243,2,71535,3.0,1445714974
244,2,74458,4.0,1445714926
246,2,79132,4.0,1445714841
251,2,91529,3.5,1445714891
253,2,99114,3.5,1445714874
254,2,106782,5.0,1445714966
255,2,109487,3.0,1445715145
