,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
2,1,6,4.0,964982224
3,1,47,5.0,964983815
4,1,50,5.0,964982931
7,1,110,4.0,964982176
12,1,223,3.0,964980985
13,1,231,5.0,964981179
15,1,260,5.0,964981680
16,1,296,3.0,964982967
17,1,316,3.0,964982310
19,1,349,4.0,964982563
20,1,356,4.0,964980962
22,1,367,4.0,964981710
25,1,457,5.0,964981909
26,1,480,4.0,964982346
27,1,500,3.0,964981208
28,1,527,5.0,964984002
32,1,590,4.0,964982546
33,1,592,4.0,964982271
34,1,593,4.0,964983793
36,1,608,5.0,964982931
37,1,648,3.0,964982563
40,1,733,4.0,964982400
41,1,736,3.0,964982653
42,1,780,3.0,964984086
60,1,1073,5.0,964981680
62,1,1089,5.0,964982951
65,1,1097,5.0,964981680
67,1,1136,5.0,964981327
68,1,1196,5.0,964981827
69,1,1197,5.0,964981872
70,1,1198,5.0,964981827
71,1,1206,5.0,964983737
72,1,1208,4.0,964983250
73,1,1210,5.0,964980499
74,1,1213,5.0,964982951
75,1,1214,4.0,964981855
78,1,1222,5.0,964981909
81,1,1240,5.0,964983723
83,1,1258,3.0,964983414
84,1,1265,4.0,964983599
85,1,1270,5.0,964983705
89,1,1291,5.0,964981909
98,1,1517,5.0,964981107
101,1,1580,3.0,964981125
108,1,1732,5.0,964981125
121,1,2028,4.0,964981888
134,1,2115,5.0,964982529
147,1,2329,5.0,964983263
166,1,2571,5.0,964981888
171,1,2628,4.0,964980523
180,1,2716,5.0,964983414
184,1,2858,5.0,964980868
192,1,2959,5.0,964983282
203,1,3147,5.0,964983873
219,1,3578,5.0,964980668
228,1,3793,5.0,964981855
301,4,32,2.0,945173447
303,4,47,2.0,945173425
318,4,260,5.0,945079259
320,4,296,1.0,945173350
326,4,357,3.0,964623306
331,4,457,5.0,945079259
336,4,539,1.0,964538832
338,4,588,4.0,945079670
339,4,593,5.0,964539986
340,4,595,3.0,986848609
342,4,608,5.0,964540008
343,4,648,3.0,945079906
354,4,912,5.0,945173902
364,4,1073,4.0,945079483
372,4,1136,5.0,986934625
376,4,1196,5.0,964538763
377,4,1197,5.0,964538763
378,4,1198,3.0,964538728
382,4,1213,4.0,945079729
387,4,1265,4.0,964622684
393,4,1291,4.0,964538763
399,4,1517,4.0,945079790
400,4,1580,3.0,986935244
404,4,1704,1.0,945629015
406,4,1732,4.0,945079889
418,4,1923,3.0,986934870
422,4,1968,4.0,986934786
442,4,2571,1.0,945173385
445,4,2628,1.0,986848894
446,4,2683,4.0,945079790
449,4,2762,4.0,964539986
